comment,blacklist_suggestions,overall_quality,factual_correctness,rating_time,warm_up,user_suggestions,action_coherence,linguistic_difference,content_similarity,identical_information,exhaustive_information,story_edit,story_old,grammar,implicit_fact_check,citation_correct,context_realization,false_gender,false_mood,matches_fandom,positive_comment,positive_example,negative_comment,negative_example,implicit_fc_comment,implicit_fc_example,positive_comment_topic,negative_comment_topic,lexical_correctness,syntactic_correctness,story_id,listvalue,story_group,length,topk,temperature,likelihood_score,hash,version,amount_fallbacks,duration_generation,dur_score,user,date,src,tgt,title,len_sentences,len_words,len_quotes
-1,-1,25.0,53.333333333333336,22:43,1,-1,100.0,25.0,100.0,100.0,99.99999999999999,-1,-1,100.0,-1,75.0,-1,-1,-1,-1,-1,-1,Text wasn&#039;t hugely changed&comma; just some changes in order.The most noticeable change was not entirely successful in my opinion: the example below would be correct if Nabati had said something to the broadcaster (and then the broadcaster quotes him) but not in this case&comma; where Nabati says something on the broadcaster (he is speaking directly to the audience&comma; not being quoted), Nebati said on broadcaster NTV > broadcaster NTV quoted Nebati as saying,-1,-1,-1,-1,80.0,100.0,108392.0,2.0,,,,,,c5bcbc0f05e29b74360fe9b2495c4166,,1.0,13.687646865844728,5.084306478500366,106545.0,2022-10-24 16:54:44,"Turks transferred 10 billion lira ($ 889 million) worth of forex deposits into a new instrument the government introduced this week that covers any FX depreciation losses, Finance Minister Nureddin Nebati said on Thursday.

Since the instrument was announced on Monday the lira has rallied sharply from an all-time low, raising questions over whether the central bank is backing state-bank interventions to sell dollars and accelerate the gains.

""Now people are asking why we intervened through the central bank or Treasury,"" Nebati said on broadcaster NTV. ""Is Turkey an unskillful country that watches the developments by itself and doesn't use all the instruments at its disposal in a positive way? It uses all the instruments,"" he added.","Turks transferred 10 billion lira ($ 889 million) worth of forex deposits into a new instrument the government introduced this week that covers any FX depreciation losses, Finance Minister Nureddin Nebati said on Thursday.

The lira has rallied sharply from an all-time low since the instrument was announced on Monday, raising questions over whether the central bank was backing state-bank interventions to sell dollars and accelerate the gains.

""Now people are asking why we intervened through the central bank or Treasury,"" broadcaster NTV quoted Nebati as saying. ""Is Turkey an unskillful country that monitors the developments by itself and doesn't use all the instruments at its disposal in a positive way? It uses all the instruments at its disposal,"" he added.",c5bcbc0f05e29b74360fe9b2495c4166,5,137,2
-1,-1,75.0,80.0,3:26,0,-1,,25.0,100.0,,,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,80.0,108392.0,2.0,,,,,,c5bcbc0f05e29b74360fe9b2495c4166,,1.0,13.687646865844728,5.084306478500366,106546.0,2022-10-25 13:22:03,"Turks transferred 10 billion lira ($ 889 million) worth of forex deposits into a new instrument the government introduced this week that covers any FX depreciation losses, Finance Minister Nureddin Nebati said on Thursday.

Since the instrument was announced on Monday the lira has rallied sharply from an all-time low, raising questions over whether the central bank is backing state-bank interventions to sell dollars and accelerate the gains.

""Now people are asking why we intervened through the central bank or Treasury,"" Nebati said on broadcaster NTV. ""Is Turkey an unskillful country that watches the developments by itself and doesn't use all the instruments at its disposal in a positive way? It uses all the instruments,"" he added.","Turks transferred 10 billion lira ($ 889 million) worth of forex deposits into a new instrument the government introduced this week that covers any FX depreciation losses, Finance Minister Nureddin Nebati said on Thursday.

The lira has rallied sharply from an all-time low since the instrument was announced on Monday, raising questions over whether the central bank was backing state-bank interventions to sell dollars and accelerate the gains.

""Now people are asking why we intervened through the central bank or Treasury,"" broadcaster NTV quoted Nebati as saying. ""Is Turkey an unskillful country that monitors the developments by itself and doesn't use all the instruments at its disposal in a positive way? It uses all the instruments at its disposal,"" he added.",c5bcbc0f05e29b74360fe9b2495c4166,5,137,2
-1,-1,50.0,66.66666666666666,5:7,0,-1,100.0,50.0,75.0,80.0,99.99999999999999,-1,-1,100.0,-1,75.0,-1,-1,-1,-1,lexical verbs are replaced correctly&comma; and it does not change the meanings of the text ,that monitors the developments by itself ,some information was added which was not contained in the original sentence. and changes in word order skewed the meaning of the sentence ,it uses all the instruments at its disposal; broadcaster NTV quoted Nebati as saying,-1,-1,-1,-1,100.0,80.0,108392.0,2.0,,,,,,c5bcbc0f05e29b74360fe9b2495c4166,,1.0,13.687646865844728,5.084306478500366,106542.0,2022-10-29 09:12:04,"Turks transferred 10 billion lira ($ 889 million) worth of forex deposits into a new instrument the government introduced this week that covers any FX depreciation losses, Finance Minister Nureddin Nebati said on Thursday.

Since the instrument was announced on Monday the lira has rallied sharply from an all-time low, raising questions over whether the central bank is backing state-bank interventions to sell dollars and accelerate the gains.

""Now people are asking why we intervened through the central bank or Treasury,"" Nebati said on broadcaster NTV. ""Is Turkey an unskillful country that watches the developments by itself and doesn't use all the instruments at its disposal in a positive way? It uses all the instruments,"" he added.","Turks transferred 10 billion lira ($ 889 million) worth of forex deposits into a new instrument the government introduced this week that covers any FX depreciation losses, Finance Minister Nureddin Nebati said on Thursday.

The lira has rallied sharply from an all-time low since the instrument was announced on Monday, raising questions over whether the central bank was backing state-bank interventions to sell dollars and accelerate the gains.

""Now people are asking why we intervened through the central bank or Treasury,"" broadcaster NTV quoted Nebati as saying. ""Is Turkey an unskillful country that monitors the developments by itself and doesn't use all the instruments at its disposal in a positive way? It uses all the instruments at its disposal,"" he added.",c5bcbc0f05e29b74360fe9b2495c4166,5,137,2
-1,-1,50.0,66.66666666666666,7:2,1,-1,100.0,50.0,75.0,80.0,99.99999999999999,-1,-1,100.0,-1,62.5,-1,-1,-1,-1,Mostly correct and free from mistakes,-1,Citation error/ hallucination,&quot;at its disposal&quot;,-1,-1,-1,-1,100.0,100.0,108392.0,2.0,,,,,,c5bcbc0f05e29b74360fe9b2495c4166,,1.0,13.687646865844728,5.084306478500366,53332.0,2022-11-02 09:25:58,"Turks transferred 10 billion lira ($ 889 million) worth of forex deposits into a new instrument the government introduced this week that covers any FX depreciation losses, Finance Minister Nureddin Nebati said on Thursday.

Since the instrument was announced on Monday the lira has rallied sharply from an all-time low, raising questions over whether the central bank is backing state-bank interventions to sell dollars and accelerate the gains.

""Now people are asking why we intervened through the central bank or Treasury,"" Nebati said on broadcaster NTV. ""Is Turkey an unskillful country that watches the developments by itself and doesn't use all the instruments at its disposal in a positive way? It uses all the instruments,"" he added.","Turks transferred 10 billion lira ($ 889 million) worth of forex deposits into a new instrument the government introduced this week that covers any FX depreciation losses, Finance Minister Nureddin Nebati said on Thursday.

The lira has rallied sharply from an all-time low since the instrument was announced on Monday, raising questions over whether the central bank was backing state-bank interventions to sell dollars and accelerate the gains.

""Now people are asking why we intervened through the central bank or Treasury,"" broadcaster NTV quoted Nebati as saying. ""Is Turkey an unskillful country that monitors the developments by itself and doesn't use all the instruments at its disposal in a positive way? It uses all the instruments at its disposal,"" he added.",c5bcbc0f05e29b74360fe9b2495c4166,5,137,2
-1,-1,50.0,80.0,1:23,0,-1,,50.0,75.0,80.0,,-1,-1,,-1,62.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,108392.0,2.0,,,,,,c5bcbc0f05e29b74360fe9b2495c4166,,1.0,13.687646865844728,5.084306478500366,106544.0,2022-11-04 23:23:38,"Turks transferred 10 billion lira ($ 889 million) worth of forex deposits into a new instrument the government introduced this week that covers any FX depreciation losses, Finance Minister Nureddin Nebati said on Thursday.

Since the instrument was announced on Monday the lira has rallied sharply from an all-time low, raising questions over whether the central bank is backing state-bank interventions to sell dollars and accelerate the gains.

""Now people are asking why we intervened through the central bank or Treasury,"" Nebati said on broadcaster NTV. ""Is Turkey an unskillful country that watches the developments by itself and doesn't use all the instruments at its disposal in a positive way? It uses all the instruments,"" he added.","Turks transferred 10 billion lira ($ 889 million) worth of forex deposits into a new instrument the government introduced this week that covers any FX depreciation losses, Finance Minister Nureddin Nebati said on Thursday.

The lira has rallied sharply from an all-time low since the instrument was announced on Monday, raising questions over whether the central bank was backing state-bank interventions to sell dollars and accelerate the gains.

""Now people are asking why we intervened through the central bank or Treasury,"" broadcaster NTV quoted Nebati as saying. ""Is Turkey an unskillful country that monitors the developments by itself and doesn't use all the instruments at its disposal in a positive way? It uses all the instruments at its disposal,"" he added.",c5bcbc0f05e29b74360fe9b2495c4166,5,137,2
-1,-1,50.0,66.66666666666666,19:38,0,-1,100.0,25.0,100.0,100.0,99.99999999999999,-1,-1,100.0,-1,62.5,-1,-1,-1,-1,no errors in content,-1,almost no linguistic difference,-1,-1,-1,-1,-1,100.0,100.0,108392.0,2.0,,,,,,c5bcbc0f05e29b74360fe9b2495c4166,,1.0,13.687646865844728,5.084306478500366,70828.0,2022-11-05 10:41:08,"Turks transferred 10 billion lira ($ 889 million) worth of forex deposits into a new instrument the government introduced this week that covers any FX depreciation losses, Finance Minister Nureddin Nebati said on Thursday.

Since the instrument was announced on Monday the lira has rallied sharply from an all-time low, raising questions over whether the central bank is backing state-bank interventions to sell dollars and accelerate the gains.

""Now people are asking why we intervened through the central bank or Treasury,"" Nebati said on broadcaster NTV. ""Is Turkey an unskillful country that watches the developments by itself and doesn't use all the instruments at its disposal in a positive way? It uses all the instruments,"" he added.","Turks transferred 10 billion lira ($ 889 million) worth of forex deposits into a new instrument the government introduced this week that covers any FX depreciation losses, Finance Minister Nureddin Nebati said on Thursday.

The lira has rallied sharply from an all-time low since the instrument was announced on Monday, raising questions over whether the central bank was backing state-bank interventions to sell dollars and accelerate the gains.

""Now people are asking why we intervened through the central bank or Treasury,"" broadcaster NTV quoted Nebati as saying. ""Is Turkey an unskillful country that monitors the developments by itself and doesn't use all the instruments at its disposal in a positive way? It uses all the instruments at its disposal,"" he added.",c5bcbc0f05e29b74360fe9b2495c4166,5,137,2
-1,-1,25.0,66.66666666666666,2:25,1,-1,100.0,25.0,50.0,80.0,99.99999999999999,-1,-1,100.0,-1,62.5,-1,-1,-1,-1,-1,-1,1. ident. inf. + lex. corr.2. correct cit,1. broadcaster NTV quoted Nebati as saying 2. &quot;&quot;Is Turkey an unskillful country that monitors [...] It uses all the instruments at its disposal&quot;,-1,-1,-1,-1,80.0,100.0,108392.0,2.0,,,,,,c5bcbc0f05e29b74360fe9b2495c4166,,1.0,13.687646865844728,5.084306478500366,50504.0,2022-11-06 13:30:00,"Turks transferred 10 billion lira ($ 889 million) worth of forex deposits into a new instrument the government introduced this week that covers any FX depreciation losses, Finance Minister Nureddin Nebati said on Thursday.

Since the instrument was announced on Monday the lira has rallied sharply from an all-time low, raising questions over whether the central bank is backing state-bank interventions to sell dollars and accelerate the gains.

""Now people are asking why we intervened through the central bank or Treasury,"" Nebati said on broadcaster NTV. ""Is Turkey an unskillful country that watches the developments by itself and doesn't use all the instruments at its disposal in a positive way? It uses all the instruments,"" he added.","Turks transferred 10 billion lira ($ 889 million) worth of forex deposits into a new instrument the government introduced this week that covers any FX depreciation losses, Finance Minister Nureddin Nebati said on Thursday.

The lira has rallied sharply from an all-time low since the instrument was announced on Monday, raising questions over whether the central bank was backing state-bank interventions to sell dollars and accelerate the gains.

""Now people are asking why we intervened through the central bank or Treasury,"" broadcaster NTV quoted Nebati as saying. ""Is Turkey an unskillful country that monitors the developments by itself and doesn't use all the instruments at its disposal in a positive way? It uses all the instruments at its disposal,"" he added.",c5bcbc0f05e29b74360fe9b2495c4166,5,137,2
-1,-1,75.0,88.88888888888889,0:29,1,-1,,50.0,100.0,,,-1,-1,,-1,,-1,-1,-1,-1,Lexical replacement was successful,succeeded in reaching this goal. > managed to reach this goal,Paraphrase ended in incorrect grammar,The president also repeated he will not let Turks be crushed under interest rates and inflation&comma; > The president also repeated his commitment to not letting Turks crushed under interest rates and inflation ,-1,-1,-1,-1,,,108333.0,1.0,,,,,,6d41480662b856401581a57d45a8bad6,,0.0,14.292580604553224,5.649888515472412,106545.0,2022-10-24 22:42:03,"The Council of Europe said on Friday it ruled to notify Turkey of its intention to launch ""infringement proceedings"" against the country over its failure to release philanthropist Osman Kavala in line with a European Court of Human Rights (ECHR) ruling.

The Council asked Ankara to submit its view on the case by Jan 19, 2022, the statement said.

Last week a Turkish court ruled to keep Kavala in prison, extending his four-year detention without conviction in a trial which has added to strains in Ankara's troubled relations with its Western allies.","The Council of Europe said on Friday it ruled it had notified Turkey of its intention to launch ""infringement proceedings"" against the country over its failure to release philanthropist Osman Kavala, in line with a European Court of Human Rights (ECHR) ruling.

The Council said in a statement that it had asked Ankara to submit its view on the case by the Jan 19, 2022.

A Turkish court last week ruled to keep Kavala in prison, extending his four-year detention without conviction in a trial, adding to strains in Ankara's troubled relations with its Western allies.",6d41480662b856401581a57d45a8bad6,3,108,1
-1,-1,25.0,66.66666666666666,5:1,1,-1,66.66666666666666,25.0,50.0,100.0,99.99999999999999,-1,-1,81.7901234567902,-1,25.0,-1,-1,-1,-1,the important ideas are included in the output text ,-1,the changes in word order have changed the meaning of the sentence&comma; and have confused readers ,The Council said in a statement that it had asked Ankara to submit its view on the case by the Jan 19&comma; 2022,-1,-1,-1,-1,100.0,66.66666666666666,108333.0,1.0,,,,,,6d41480662b856401581a57d45a8bad6,,0.0,14.292580604553224,5.649888515472412,106542.0,2022-10-29 08:56:40,"The Council of Europe said on Friday it ruled to notify Turkey of its intention to launch ""infringement proceedings"" against the country over its failure to release philanthropist Osman Kavala in line with a European Court of Human Rights (ECHR) ruling.

The Council asked Ankara to submit its view on the case by Jan 19, 2022, the statement said.

Last week a Turkish court ruled to keep Kavala in prison, extending his four-year detention without conviction in a trial which has added to strains in Ankara's troubled relations with its Western allies.","The Council of Europe said on Friday it ruled it had notified Turkey of its intention to launch ""infringement proceedings"" against the country over its failure to release philanthropist Osman Kavala, in line with a European Court of Human Rights (ECHR) ruling.

The Council said in a statement that it had asked Ankara to submit its view on the case by the Jan 19, 2022.

A Turkish court last week ruled to keep Kavala in prison, extending his four-year detention without conviction in a trial, adding to strains in Ankara's troubled relations with its Western allies.",6d41480662b856401581a57d45a8bad6,3,108,1
-1,-1,75.0,66.66666666666666,63:21,1,-1,100.0,75.0,75.0,100.0,99.99999999999999,-1,-1,81.7901234567902,-1,50.0,-1,-1,-1,-1,-1,-1,1. tense 2. G&S &quot;the&quot;,1.  it had notified 2. by the Jan 19&comma; 2022,-1,-1,-1,-1,100.0,100.0,108333.0,1.0,,,,,,6d41480662b856401581a57d45a8bad6,,0.0,14.292580604553224,5.649888515472412,40.0,2022-10-31 09:45:16,"The Council of Europe said on Friday it ruled to notify Turkey of its intention to launch ""infringement proceedings"" against the country over its failure to release philanthropist Osman Kavala in line with a European Court of Human Rights (ECHR) ruling.

The Council asked Ankara to submit its view on the case by Jan 19, 2022, the statement said.

Last week a Turkish court ruled to keep Kavala in prison, extending his four-year detention without conviction in a trial which has added to strains in Ankara's troubled relations with its Western allies.","The Council of Europe said on Friday it ruled it had notified Turkey of its intention to launch ""infringement proceedings"" against the country over its failure to release philanthropist Osman Kavala, in line with a European Court of Human Rights (ECHR) ruling.

The Council said in a statement that it had asked Ankara to submit its view on the case by the Jan 19, 2022.

A Turkish court last week ruled to keep Kavala in prison, extending his four-year detention without conviction in a trial, adding to strains in Ankara's troubled relations with its Western allies.",6d41480662b856401581a57d45a8bad6,3,108,1
