comment,blacklist_suggestions,story_coherence,readability,rating_time,warm_up,user_suggestions,story_edit,story_old,implicit_fact_check,context_realization,false_gender,false_mood,topic_met,matches_style_tone,spelling_and_grammar,info_consistency,matches_fandom,positive_comment,positive_example,negative_comment,negative_example,implicit_fc_comment,implicit_fc_example,positive_comment_topic,negative_comment_topic,story_id,listvalue,story_group,length,topk,temperature,likelihood_score,hash,version,amount_fallbacks,duration_generation,dur_score,user,date
-1,-1,75,100,5:39,1,-1,-1,-1,-1,-1,-1,-1,75,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,110739,1,,64,,,,29,,,,,12807,2022-11-14 01:25:30
-1,-1,100,100,7:37,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,110853,3,,46,,,,143,,,,,12807,2022-11-14 15:01:25
-1,-1,100,100,7:40,1,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,110917,5,,117,,,,207,,,,,12807,2022-11-14 15:09:08
-1,-1,100,100,4:39,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,110996,6,,112,,,,286,,,,,12807,2022-11-14 15:13:51
-1,-1,100,100,10:54,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,110881,4,,123,,,,171,,,,,12807,2022-11-14 15:24:48
-1,-1,100,100,7:59,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,110792,2,,65,,,,82,,,,,12807,2022-11-14 15:32:50
-1,-1,100,75,14:26,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,110871,4,,130,,,,161,,,,,12807,2022-11-14 15:47:19
-1,-1,100,75,4:22,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,110747,1,,56,,,,37,,,,,12807,2022-11-14 15:51:44
-1,-1,100,100,9:31,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,110768,2,,95,,,,58,,,,,12807,2022-11-14 16:01:18
-1,-1,100,100,5:45,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,110859,3,,58,,,,149,,,,,12809,2022-11-15 09:23:57
-1,-1,100,75,35:43,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,110944,5,,110,,,,234,,,,,12809,2022-11-15 09:59:42
-1,-1,100,75,23:31,1,-1,-1,-1,-1,-1,-1,-1,75,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,110758,1,,71,,,,48,,,,,12809,2022-11-15 10:23:15
-1,-1,100,100,11:22,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,110962,6,,113,,,,252,,,,,12809,2022-11-15 10:34:39
-1,-1,25,25,26:12,0,-1,-1,-1,-1,-1,-1,-1,50,50,80,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,110877,4,,107,,,,167,,,,,12809,2022-11-15 11:00:53
-1,-1,100,75,2:32,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,110808,2,,48,,,,98,,,,,12809,2022-11-15 11:03:27
Not sure&comma; what &#039;supplies&#039; could mean,-1,75,100,2:55,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,110797,2,,48,,,,87,,,,,12809,2022-11-15 11:06:24
-1,-1,100,50,19:34,0,-1,-1,-1,-1,-1,-1,-1,100,50,90,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,110865,4,,106,,,,155,,,,,12809,2022-11-15 11:25:59
